id,name,price,product_url,image_url,created_at,category_id
1,한라봉봉지 과수봉지 감귤류 오렌지봉지 100장 1000장  고광택 평면 입 180x220 감귤 1kg  1개,19010,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8588640758&ctag=8588640758&lptag=P8588640758&itemId=9746432066&vendorItemId=77030163956&spec=10305199,https://shopping-phinf.pstatic.net/main_5518889/55188894148.jpg,2025-06-12 11:47:00,40
2,한라봉봉지 과수봉지 감귤류 100장 1000장 오렌지봉지  고광택 흰색 22x32 100개  1개,15800,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8531250058&ctag=8531250058&lptag=I22905604911&itemId=22905604911&vendorItemId=89940070478&spec=10305199,https://shopping-phinf.pstatic.net/main_5475597/54755974260.jpg,2025-06-12 11:47:00,40
3,한라봉 필러 자몽 과일가게 감귤류 생과일주스,38000,https://www.lotteon.com/p/product/LO2495238743?sitmNo=LO2495238743_2495238744&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,https://shopping-phinf.pstatic.net/main_5513006/55130066835.jpg,2025-06-12 11:47:00,40
4,껍질 필러 자몽 라임 오렌지 한라봉 두꺼운껍질 감귤류 과일가게 생과일주스,15400,https://link.auction.co.kr/gate/pcs?item-no=F233054716&sub-id=1&service-code=10000003,https://shopping-phinf.pstatic.net/main_5506197/55061970678.jpg,2025-06-12 11:47:00,40
5,껍질 필러 자몽 라임 오렌지 한라봉 두꺼운껍질 감귤류 과일가게 생과일주스,15410,https://link.gmarket.co.kr/gate/pcs?item-no=4431204998&sub-id=1003&service-code=10000003&lcd=100000085,https://shopping-phinf.pstatic.net/main_5505645/55056450033.jpg,2025-06-12 11:47:00,40
6,하이브릭스 블랙라벨 고당도 오렌지,9900,https://smartstore.naver.com/main/products/4350052568,https://shopping-phinf.pstatic.net/main_8189457/81894574596.1.jpg,2025-06-12 11:47:00,41
7,썬키스트 블랙라벨 고당도 오렌지 25과,15200,https://smartstore.naver.com/main/products/2611871455,https://shopping-phinf.pstatic.net/main_8010961/80109615031.22.jpg,2025-06-12 11:47:00,41
8,고당도 프리미엄 블랙라벨 오렌지,9900,https://smartstore.naver.com/main/products/4853121394,https://shopping-phinf.pstatic.net/main_8239764/82397644693.2.jpg,2025-06-12 11:47:00,41
9,[대용량] 고당도 오렌지 프리미엄 최상급,31900,https://smartstore.naver.com/main/products/8821864419,https://shopping-phinf.pstatic.net/main_8636636/86366364742.6.jpg,2025-06-12 11:47:00,41
10,"썬키스트 고당도 블랙라벨 네이블 오렌지 150g, 10개",7990,https://smartstore.naver.com/main/products/11615403369,https://shopping-phinf.pstatic.net/main_8915991/89159913775.1.jpg,2025-06-12 11:47:00,41
